Category,Value,Order,Question,Answer
ANAGRAMMED WEST WING STARS,$1000,10,He's Toby Z:HARD CHIC RIFFS,Richard Schiff
BIRD-BRAINED BALLETS,$200,21,"One of these large birds is featured in ""Les Maries de la Tour Eiffel"" (reminds me of ""Fantasia"")",ostriches
BIRD-BRAINED BALLETS,$400,22,"The ""Bluebird Pas de Deux"" is performed at Princess Aurora's wedding in this fairy tale ballet",Sleeping Beauty
BIRD-BRAINED BALLETS,$600,23,"Gelsey Kirkland starred in the 1972 version of ""The Song of"" this nocturnal bird",a nightingale
BIRD-BRAINED BALLETS,$800,24,Tamara Karsavina won the role of this title bird in a 1910 ballet because Anna Pavlova didn't like the music,the Firebird
BIRD-BRAINED BALLETS,$1000,25,"Created for Anna Pavlova, this famous ballet solo is a lot shorter than ""Swan Lake""","""The Dying Swan"""
BLOGS,$400,16,The word blog evolved as a shortened form of this,web log
BLOGS,$800,17,Lawyer Lawrence Lessig started blogging after being thrown off the anti-trust case against this software giant,Microsoft
BLOGS,$1200,18,The Lycos blog posted a link to a job listing for an entertainment liaison in this newest Cabinet department,Homeland Security
BLOGS,$1600,19,blogforamerica.com was started to raise money for & awareness of his presidential campaign,(Howard) Dean
BLOGS,$2000,20,This notorious comedienne seen here blogs about such things as her potty mouth and the end of the world,Margaret Cho
CALCULUS,$400,21,"""Vive la"" this, for which Augustin Cauchy introduced the delta symbol in the 19th century",difference
CALCULUS,$800,27,"(Cheryl of the Clue Crew points to a blackboard.)  By finding the value of the right side of the equation, we'll do this to the function",integrate it
CALCULUS,$1200,28,"On a graph, the derivative of a function is this, which all lines except vertical ones have",a slope
CALCULUS,$1600,29,"Often symbolized L, it's the value approached by a function as its variable approaches a given value",a limit
CALCULUS,$2000,30,"Related to the word ""increase"", it's a small change in a variable representing distance or time",increment
CHART TOPPERS,$400,22,"This Debby Boone hit was No. 1 on the Top 40 chart for 10 weeks, longer than any other song of the 1970s","""You Light Up My Life"""
CHART TOPPERS,$800,23,"His No. 1 R&B; hits include ""Papa Don't Take No Mess Part 1""",James Brown
CHART TOPPERS,$1200,24,"Her 1996 hit ""Because You Loved Me"" topped the adult contemporary charts for an amazing 19 weeks",Celine Dion
CHART TOPPERS,$1600,25,In 1995 she had 2 songs debut at the top of the charts; one was a duet with Boyz II Men,Mariah Carey
CHART TOPPERS,$2000,26,"He wrote Bread's only No. 1 hit, ""Make It With You"", as well as the title track to the 1977 film ""The Goodbye Girl""",David Gates
ENGLISH LIT,$200,26,"Published in 1976, her last Miss Marple case, ""Sleeping Murder"", was actually written during WWII",(Agatha) Christie
ENGLISH LIT,$400,27,"She introduced Mr. & Mrs. Dalloway in her first novel, ""The Voyage Out""",Virginia Woolf
ENGLISH LIT,$600,28,"Chapters in this novel include ""Wickfield and Heep"" & ""Mr. Micawber's Gauntlet""",David Copperfield
ENGLISH LIT,$800,29,"Published in 1590, ""The Legend of the Red Cross Knight"" is the first of 6 books in this poetic epic",The Faerie Queene
ENGLISH LIT,$1000,30,"She's the heroine of the long-banned 18th century novel ""Memoirs of a Woman of Pleasure""",Fanny Hill
FIVE EASY PEACES,$400,11,"Alexander II signed the Peace of York in 1237, establishing a permanent boundary between these 2 countries",England and Scotland
FIVE EASY PEACES,$800,12,The Peace of this mountain range agreed to by Louis XIV & Philip IV ended the 1600s Franco-Spanish War,the Pyrenees
FIVE EASY PEACES,$1200,13,"After John II's 1356 defeat at the Battle of Poitiers, the Peace of Bretigny was signed, ending the 1st phase of this",the Hundred Years\' War
FIVE EASY PEACES,$1600,14,The Peace of Utrecht ended this war & recognized the legitimacy of Louis XIV's grandson as King of Spain,the War of the Spanish Succession
FIVE EASY PEACES,$2000,15,Negotations in a Duchy in what is now Western Germany led to the naming of this 1648 peace,Westphalia
GEOGRAPHY,$400,6,Buffalo & Cleveland are major ports on this Great Lake,Erie
GEOGRAPHY,$800,7,"This Atlantic ""sea"" is named for the seaweed that can be seen there",the Sargasso Sea
GEOGRAPHY,"DD: $3,000",8,"One of the 2 South American countries trying to claim Graham Land, part of the British Antarctic territory",Argentina (or Chile)
GEOGRAPHY,$1600,9,In 1951 Portugal allowed NATO to establish an airbase on the island of Terceira in this archipelago,Azores
GEOGRAPHY,$2000,10,It's the capital & chief seaport of Trinidad & Tobago,Port-of-Spain
SCIENCE & TECHNOLOGY,$200,11,"Social insects, termites live in groups of a few hundred to several million called these",colonies
SCIENCE & TECHNOLOGY,$400,12,"Dioxide of this element, symbol Cr, is used to make recording tape for cassettes",chromium
SCIENCE & TECHNOLOGY,$600,13,The Cassini spacecraft is scheduled to study this planet & send a probe to the surface of its moon Titan,Saturn
SCIENCE & TECHNOLOGY,$800,14,The name of this pivoted frame for the combustion chamber & nozzle of a rocket sounds like Macy's one-time rival,a gimbal
SCIENCE & TECHNOLOGY,$1000,15,"This biologist first gained acclaim for writing in1937 with her article ""Undersea"" in the Atlantic Monthly",Rachel Carson
TAKE IN ORDER!,$200,1,"Add this letter to ""S"" for the Internet domain name of Napoleon's last home",
TAKE IN ORDER!,$400,2,Now add this letter to get H. Rider Haggard's novel about an African sorceress,
TAKE IN ORDER!,$600,3,"Next add this letter for a ballpark opened April 17, 1964",
TAKE IN ORDER!,$800,4,Then add this letter to get a type of stress affecting solids or a change in the wind speed,
TAKE IN ORDER!,$1000,5,"(Sofia of the Clue Crew wears a warm, woolly coat.)  Finally add these four letters to get the type of coat I'm wearing",
WORD ORIGINS,$400,1,"Whether it's a problem in the eye or a waterfall, it's from the Greek for ""to dash down""",cataract
WORD ORIGINS,$800,2,"From the Italian for ""bench"", it's a sumptuous feast given in someone's honor",banquet
WORD ORIGINS,"DD: $1,200",3,"This large, triangular sail used on some racing yachts is said to derive its name from a yacht called the Sphinx",a spinnaker
WORD ORIGINS,$1600,4,This Protestant group was named for its founders' strict & orderly approach to life & the Scriptures,Methodists
WORD ORIGINS,$2000,5,"From the Latin word lampreda we get lamprey, as well as the name of this mollusk",limpet
2 PICTURES SAY 1 WORD,$200,21,There's plenty of room here for your groceries,a pantry
2 PICTURES SAY 1 WORD,$400,22,This is your John Hancock,your autograph
2 PICTURES SAY 1 WORD,$600,23,This is right,starboard
2 PICTURES SAY 1 WORD,$800,24,This is your history,your background
2 PICTURES SAY 1 WORD,$1000,25,Someone who's very middle-of-the-road,centrist
AARON BURR,$200,13,The man he tied with 73 electoral votes in 1800,Jefferson
AARON BURR,$400,14,The New Jersey college he graduated from at age 16,Princeton
AARON BURR,$600,17,"The man he went to New Jersey to meet on July 11, 1804",Hamilton
AARON BURR,$800,18,The man he introduced the widow Dolley Todd to in 1794,James Madison
AARON BURR,$1000,19,The Chief Justice who presided over his treason trial,John Marshall
AVIATION,$400,14,"(Jimmy of the Clue Crew strolls through an unfinished airplane cabin at the Boeing Everett Factory in Seattle, WA.)  I'm walking through this main body of the airplane, which gets its name from the Old French for ""spindle""",the fuselage
AVIATION,$800,15,"In chemistry, it maintains a mixture resistant to change; when flying it controls the pitch of an aircraft",the stabilizer
AVIATION,$1200,16,"This 3-digit number, popular in Vegas slot machines, is Boeing's & the world's largest family of twinjet",777
AVIATION,$1600,19,"Greater than supersonic, it's the term for a speed 5 times faster than the speed of sound",hypersonic (Mach 5 accepted)
AVIATION,$2000,25,"""Air""y name of the curved top & flat bottom shape that airplane (& bird) wings have to give them lift",an airfoil
CHAT ROOM LINGO,$200,6,"""CAD"" stands for these 3 computer keys (often used together)",Ctrl+Alt+Delete
CHAT ROOM LINGO,$400,7,"Don’t wait around if you read ""DHYB""; it means “don’t hold” this",your breath
CHAT ROOM LINGO,$600,15,"""ESO"" is the insulting ""equipment smarter than"" this person",the operator
CHAT ROOM LINGO,$800,16,"""CD-ROM"" also stands for ""consumer device rendered"" this ""in months""",obsolete
CHAT ROOM LINGO,$1000,20,"""AIAMU"" means ""and I'm a"" this, expressing astonishment",monkey\'s uncle
"ENDS IN ""GHT""",$400,1,"On October 26, 1881 this took place at Tombstone's OK Corral",gunfight
"ENDS IN ""GHT""",$800,2,"William Congreve wrote, ""Women are like tricks by"" this ""of hand, which, to admire, we should not understand""",sleight
"ENDS IN ""GHT""",$1200,4,"As a noun, it's a zero; as a pronoun, it's nothing",naught
"ENDS IN ""GHT""","DD: $5,400",5,Samuel F.B. Morse could have told you that it's a past tense & a past participle of work,wrought
"ENDS IN ""GHT""",$2000,6,"Abbreviated dwt., it's equal to 24 grains, or 1/20 of a troy ounce",a pennyweight
GOT MILK?,$200,8,"AKA ""America’s Dairyland"", it’s one of the leading U.S. states in milk production",Wisconsin
GOT MILK?,$400,9,1 of this unit of milk weighs about 8 pounds,a gallon
GOT MILK?,$600,10,A Frenchman created this process that kills microorganisms in milk by heating it,pasteurization
GOT MILK?,$800,11,This type of sugar that's less sweet than sucrose is found only in milk,lactose
GOT MILK?,$1000,12,In 1856 Gail Borden received a patent for his process to do this to milk,condense it
HOMOPHONIC NAMES,$400,26,"A tree that's a national symbol of Slovenia, or a Texan U.S. president's first name",linden (or Lyndon)
HOMOPHONIC NAMES,$800,27,"Loudly, raucously sound out George Orwell's original last name",blare (or Blair)
HOMOPHONIC NAMES,$1200,30,"A critiquer of pure reason who died in 1804, or a response indicating you're unable to grasp his philosophy",Kant (or can\'t)
HOMOPHONIC NAMES,$1600,29,"In ""A hymn to God the Father"", this metaphysical poet makes punning use of this synonym for ""finished""",Donne (or done)
HOMOPHONIC NAMES,$2000,28,"Sadly for him, the 17th century gunpowder plotter wasn't quite as sly as the animal",Fawkes (or fox)
JACKS OR BETTER,$400,3,In the 19th century a new breed of terrier was named for this clergyman,Jack Russell
JACKS OR BETTER,$800,7,"In ""Nightmares & Dreamscapes"" this author wrote, ""I believe there is an unseen world all around us""",Stephen King
JACKS OR BETTER,$1200,8,In 1999 this rapper-turned-actress turned talk show host,Queen Latifah
JACKS OR BETTER,$1600,9,Columbia chief Harry Cohn advised this actor to change his last name to avoid negative review puns,Jack Lemmon
JACKS OR BETTER,$2000,10,"An ad in a 1973 paper brought this lead guitarist together with Gene Simmons, Paul Stanley & Peter Criss",
SCIENCE & NATURE,$200,1,Hunting & forest clearing (not a luxury automaker) have endangered this largest wild cat of the Americas,the jaguar
SCIENCE & NATURE,$400,2,"Like an escargot, the abalone is an edible one of these gastropods",a snail
SCIENCE & NATURE,$600,3,It's the branch of physics that deals with the nature & properties of light,optics
SCIENCE & NATURE,"DD: $1,000",4,Hermann Muller won a 1946 Nobel Prize for proving that the use of these can cause mutations,
SCIENCE & NATURE,$1000,5,The flowers on this type of myrtle tree resemble the crinkly paper of the same name,crepe
SHE SELLS SEYCHELLES,$400,20,"One of the principal exports of Seychelles is copra, the dried white flesh of this fruit",coconut
SHE SELLS SEYCHELLES,$800,21,From about 1500 to 1750 the Seychelles served mainly as a hiding place for these people,pirates
SHE SELLS SEYCHELLES,$1200,22,"The Seychelles uses this unit of currency, which is also used in Pakistan, Nepal & Sri Lanka",the rupee
SHE SELLS SEYCHELLES,$1600,23,Seychelles is an example of this grouping of a large number of islands on a vast sheet of sea,an archipelago
SHE SELLS SEYCHELLES,$2000,24,"This Portuguese navigator, the first European to reach India by sea, discovered the Seychelles in 1502",Vasco da Gama
SPORTS VENUES,$200,26,A stadium with the world’s largest roof was built in 1972 for the Olympic games in this city,Munich
SPORTS VENUES,$400,27,"On March 14, 1997 Scott Hamilton became the first figure skater inducted into this NYC sports arena’s Walk of Fame",Madison Square Garden
SPORTS VENUES,$600,28,"Built in 1912, this American League park is Major League Baseball's oldest & smallest in capacity",Fenway
SPORTS VENUES,$800,29,This Big 12 school plays its home basketball games at the Bob Devaney Sports Center,the University of Nebraska
SPORTS VENUES,$1000,30,(I'm Moe Williams from the NFL.)  The Minnesota Vikings play their home games in a domed stadium named for this former U.S. vice president,Humphrey
THE 2004 PRESIDENTIAL RACE,$400,11,"Bush-Cheney called Edwards Kerry's second choice, meaning this Republican was his first",John McCain
THE 2004 PRESIDENTIAL RACE,$800,12,George W. Bush won 91% of the vote in Massachusetts (unfortunately for him it was in this contest),the Republican primary
THE 2004 PRESIDENTIAL RACE,$1200,13,"Most of the over 50,000 signatures he submitted to try to get on the Michigan ballot were collected by the GOP",(Ralph) Nader
THE 2004 PRESIDENTIAL RACE,"DD: $1,700",17,"In a July 23 speech to this league, the President asked if the Democrats take black voters for granted",the National Urban League
THE 2004 PRESIDENTIAL RACE,$2000,18,This Florida senator was the first Democratic candidate to drop out of the race,(Bob) Graham
A BYZANTINE CATEGORY,$400,26,"At over 4 miles in length, a wall built in the 400s kept this capital safe for a thousand years",Constantinople
A BYZANTINE CATEGORY,$800,27,Byzantine jurists helped Emperor Justinian assemble what's known as the Justinian one of these,a code
A BYZANTINE CATEGORY,"DD: $2,200",28,In the 1370s these people got Gallipoli from the Byzantine Empire; later they got the whole Empire,the Ottomans (or Ottoman Turks)
A BYZANTINE CATEGORY,$1600,29,A Lombard invasion in the 500s ended Byzantine control in what's now this country,Italy
A BYZANTINE CATEGORY,$2000,30,"The inhabitants of the Empire didn't call themselves ""Byzantines"" but these imperial people",Romans
"DO YA THINK I'M ""SEX""Y?",$400,1,This 6-letter term means designed for both men & women,unisex
"DO YA THINK I'M ""SEX""Y?",$800,2,"People magazine bestowed this honor on Nick Nolte in 1992; 2 years later, no one on the planet qualified",Sexiest Man Alive
"DO YA THINK I'M ""SEX""Y?",$1200,3,"Term for reproduction, as budding or fission, not involving the union of gametes",asexual
"DO YA THINK I'M ""SEX""Y?",$1600,4,An official of a church charged with taking care of the edifice & its contents,sexton
